year,Catholic
2019,22
2018,22
2017,21
2016,22
2015,23
2014,23
2013,24
2012,23
2011,23
2010,21
2009,22
2008,22
2007,23
2006,22
2005,23
2004,24
2003,24
2002,24
2001,25
2000,25
1999,27
1998,27
1997,26
1996,25
1995,27
1994,24
1993,26
1992,26
1991,25
1990,25
1989,25
1988,26
1987,28
1986,27
1985,28
1984,28
1983,29
1982,29
1981,28
1980,28
1979,29
1978,29
1977,27
1976,28
1975,27
1974,28
1973,27
1972,27
1971,26
1970,26
1969,27
1968,25
1967,25
1966,25
1965,24
1964,23
1963,24
1962,24
1961,23
1960,25
1959,24
1958,23
1957,24
1956,25
1955,22
1954,22
1953,23
1952,26
1951,24
1950,25
1949,22
1948,22
