year,Protestant
2019,35
2018,35
2017,38
2016,38
2015,38
2014,37
2013,38
2012,41
2011,42
2010,45
2009,45
2008,47
2007,51
2006,49
2005,49
2004,50
2003,49
2002,49
2001,53
2000,52
1999,52
1998,58
1997,53
1996,56
1995,56
1994,59
1993,56
1992,56
1991,56
1990,56
1989,57
1988,57
1987,57
1986,58
1985,57
1984,57
1983,55
1982,56
1981,59
1980,61
1979,58
1978,60
1977,61
1976,60
1975,60
1974,60
1973,60
1972,61
1971,63
1970,65
1969,64
1968,67
1967,67
1966,67
1965,69
1964,70
1963,69
1962,69
1961,70
1960,67
1959,68
1958,69
1957,70
1956,71
1955,70
1954,71
1953,70
1952,66
1951,68
1950,66
1949,69
1948,69
